province_id,year,code,score
33,2011,D3,5.409335
33,2011,D4,6.291757
33,2011,D5,6.447381
33,2011,D6,6.838182
34,2011,D1,5.048677
34,2011,D2,5.305767
34,2011,D3,5.578123
34,2011,D4,5.353436
34,2011,D5,6.409153
34,2011,D6,6.306332
35,2011,D1,5.884237
35,2011,D2,5.681886
35,2011,D3,6.004536
35,2011,D4,6.945232
35,2011,D5,6.902247
35,2011,D6,7.013384
36,2011,D1,4.76267
36,2011,D2,5.019029
36,2011,D3,5.211934
36,2011,D4,5.09361
36,2011,D5,6.578695
36,2011,D6,6.264314
37,2011,D1,5.353788
37,2011,D2,5.533273
37,2011,D3,5.277689
37,2011,D4,5.263045
37,2011,D5,6.433857
37,2011,D6,6.663778
38,2011,D1,5.06227
38,2011,D2,4.641479
38,2011,D3,5.522005
38,2011,D4,5.131741
38,2011,D5,7.062998
38,2011,D6,6.923033
39,2011,D1,4.320866
39,2011,D2,4.881819
39,2011,D3,5.43684
39,2011,D4,5.817658
39,2011,D5,6.65764
39,2011,D6,6.482713
40,2011,D1,5.259974
40,2011,D2,5.163684
40,2011,D3,5.63341
40,2011,D4,5.333369
40,2011,D5,7.148442
40,2011,D6,6.737861
41,2011,D1,5.474282
41,2011,D2,6.002263
41,2011,D3,5.435134
41,2011,D4,5.65083
41,2011,D5,7.084662
41,2011,D6,6.317464
42,2011,D1,5.098397
42,2011,D2,5.801748
42,2011,D3,5.532555
42,2011,D4,5.028733
42,2011,D5,7.00809
42,2011,D6,6.572452
43,2011,D1,5.725976
43,2011,D2,5.892358
43,2011,D3,5.553295
43,2011,D4,5.75058
43,2011,D5,7.1993
43,2011,D6,5.680825
44,2011,D1,5.251161
44,2011,D2,4.603978
44,2011,D3,5.531252
44,2011,D4,5.025381
44,2011,D5,7.174689
44,2011,D6,6.630703
45,2011,D1,5.433785
45,2011,D2,6.020853
45,2011,D3,5.847684
45,2011,D4,5.512823
45,2011,D5,7.129824
45,2011,D6,5.919043
46,2011,D1,4.403107
46,2011,D2,4.626924
46,2011,D3,5.189391
46,2011,D4,5.24101
46,2011,D5,6.715736
46,2011,D6,6.366068
47,2011,D1,5.083646
47,2011,D2,5.475698
47,2011,D3,5.385574
47,2011,D4,7.183592
47,2011,D5,7.146326
47,2011,D6,6.854453
48,2011,D1,5.457825
48,2011,D2,5.387383
48,2011,D3,5.144117
48,2011,D4,5.865746
48,2011,D5,7.144776
48,2011,D6,6.660327
49,2011,D1,5.96322
49,2011,D2,6.849039
49,2011,D3,5.53126
49,2011,D4,6.890491
49,2011,D5,7.427681
49,2011,D6,7.292699
50,2011,D1,5.143024
50,2011,D2,6.005712
50,2011,D3,5.240344
50,2011,D4,6.147952
50,2011,D5,7.080636
50,2011,D6,7.148072
51,2011,D1,5.769613
51,2011,D2,6.149002
51,2011,D3,6.257419
51,2011,D4,7.360318
51,2011,D5,7.185021
51,2011,D6,7.116402
52,2011,D1,5.734218
52,2011,D2,5.888436
52,2011,D3,5.78971
52,2011,D4,6.873276
52,2011,D5,6.924706
52,2011,D6,6.459263
53,2011,D1,5.787479
53,2011,D2,5.931097
53,2011,D3,5.121816
53,2011,D4,6.52783
53,2011,D5,6.802374
53,2011,D6,6.955378
54,2011,D1,4.687884
54,2011,D2,4.435356
54,2011,D3,5.110535
54,2011,D4,4.924287
54,2011,D5,6.359602
54,2011,D6,6.409603
55,2011,D1,5.242749
55,2011,D2,5.080515
55,2011,D3,5.395402
55,2011,D4,5.997477
55,2011,D5,7.075324
55,2011,D6,7.01311
56,2011,D1,5.182785
56,2011,D2,5.476338
56,2011,D3,5.941434
56,2011,D4,6.760653
56,2011,D5,7.194096
56,2011,D6,6.666285
57,2011,D1,4.869586
57,2011,D2,4.958939
57,2011,D3,4.735237
57,2011,D4,5.540307
57,2011,D5,6.467561
57,2011,D6,6.805312
58,2011,D1,5.09196
58,2011,D2,4.767159
58,2011,D3,5.290498
58,2011,D4,5.737898
58,2011,D5,6.866744
58,2011,D6,6.994224
59,2011,D1,5.716923
59,2011,D2,5.490738
59,2011,D3,5.547006
59,2011,D4,5.951178
59,2011,D5,6.353442
59,2011,D6,6.550245
60,2011,D1,4.969893
60,2011,D2,4.789634
60,2011,D3,5.271314
60,2011,D4,5.765605
60,2011,D5,6.786561
60,2011,D6,6.715853
61,2011,D1,4.899919
61,2011,D2,4.922166
61,2011,D3,5.152213
61,2011,D4,6.944393
61,2011,D5,6.575285
61,2011,D6,6.635262
62,2011,D1,4.637381
62,2011,D2,4.674524
62,2011,D3,5.063324
62,2011,D4,6.301612
62,2011,D5,6.858888
62,2011,D6,6.744656
63,2011,D1,4.812378
